Transcription-Units,Genes of transcription unit,Left-End-Position,Right-End-Position,Transcription-Direction
,G133T-4090,3884459,3884857,-
,G133T-4089,3884062,3884415,+
,G133T-4088,3883449,3883814,+
 //  // ,G133T-4087 // G133T-4086 // G133T-4085,3882926 // 3882388 // 3881536,3883360 // 3882945 // 3882348,-
 // ,G133T-4084 // G133T-4083,3880395 // 3880181,3881381 // 3880408,-
 //  //  //  //  //  // ,G133T-4082 // G133T-4081 // G133T-4080 // G133T-4079 // G133T-4078 // G133T-4077 // G133T-4076,3878670 // 3878159 // 3877340 // 3876643 // 3875881 // 3874722 // 3873388,3879995 // 3878656 // 3878134 // 3877317 // 3876630 // 3875864 // 3874725,-
,G133T-4075,3872206,3873318,-
,G133T-4074,3871306,3872133,-
,G133T-4073,3870231,3871172,-
 //  // ,G133T-4072 // G133T-4071 // G133T-4070,3869454 // 3868192 // 3866861,3870125 // 3869373 // 3868162,-
,G133T-407,376508,376627,-
 //  //  //  // ,G133T-4069 // G133T-4068 // G133T-4067 // G133T-4066 // G133T-4065,3865390 // 3864355 // 3863097 // 3861426 // 3859903,3866817 // 3865314 // 3864362 // 3863084 // 3861429,+
,G133T-4064,3859344,3859790,+
,G133T-4063,3858861,3859007,-
,G133T-4062,3857318,3858727,-
 //  //  // ,G133T-4061 // G133T-4060 // G133T-4059 // G133T-4058,3856646 // 3856365 // 3854636 // 3854196,3856999 // 3856634 // 3856345 // 3854639,-
,G133T-406,376024,376386,+
,G133T-4057,3853842,3854150,-
 // ,G133T-4056 // G133T-4055,3851630 // 3850198,3853459 // 3851607,-
,G133T-4054,3849649,3850095,-
,G133T-4053,3848562,3849500,-
,G133T-4052,3841396,3848400,-
,G133T-4051,3840906,3841334,-
,G133T-4050,3840110,3840580,-
 // ,G133T-405 // G133T-404,375159 // 374596,375791 // 375153,-
,G133T-4049,3839748,3839918,-
,G133T-4048,3839281,3839691,-
,G133T-4047,3838829,3839158,-
 //  //  //  // ,G133T-4046 // G133T-4045 // G133T-4044 // G133T-4043 // G133T-4042,3838307 // 3837801 // 3837477 // 3837000 // 3836857,3838759 // 3838286 // 3837773 // 3837461 // 3836988,-
,G133T-4041,3835360,3836508,-
,G133T-4040,3833839,3835278,-
,G133T-4039,3832534,3833820,+
,G133T-4038,3832379,3832492,-
,G133T-4037,3832226,3832348,+
,G133T-4036,3831647,3832246,-
,G133T-4035,3830718,3831551,-
,G133T-4034,3829694,3830422,-
,G133T-4033,3828256,3829536,+
,G133T-4032,3825995,3828055,-
,G133T-4031,3825655,3825945,-
,G133T-4030,3823604,3824797,+
,G133T-403,372764,374485,-
,G133T-4029,3823129,3823263,+
 //  //  //  //  // ,G133T-4028 // G133T-4027 // G133T-4026 // G133T-4025 // G133T-4024 // G133T-4023,3822140 // 3822011 // 3820568 // 3819828 // 3819181 // 3818391,3823009 // 3822139 // 3821986 // 3820544 // 3819831 // 3819164,-
,G133T-4022,3817202,3818338,+
,G133T-4021,3815816,3816949,+
,G133T-4020,3815073,3815561,+
 // ,G133T-402 // G133T-401,372147 // 371722,372596 // 372120,-
,G133T-4019,3814774,3814944,+
,G133T-4018,3814264,3814392,+
,G133T-4017,3812927,3814159,+
 //  // ,G133T-4016 // G133T-4015 // G133T-4014,3812221 // 3811014 // 3810523,3812877 // 3812234 // 3810996,+
,G133T-4013,3809570,3810445,+
,G133T-4012,3808934,3809440,-
,G133T-4011,3807800,3808819,-
,G133T-4010,3807084,3807725,+
,G133T-4009,3805779,3806615,-
,G133T-4008,3804280,3805737,+
,G133T-4007,3803203,3804096,-
,G133T-4006,3801985,3803082,-
,G133T-4005,3801039,3801878,-
,G133T-4004,3800825,3801025,+
,G133T-4003,3799085,3800767,+
,G133T-4002,3797605,3798957,+
 //  //  // ,G133T-4001 // G133T-4000 // G133T-3999 // G133T-3998,3795643 // 3794643 // 3792940 // 3791216,3797049 // 3795659 // 3794643 // 3792943,-
,G133T-400,370252,371685,+
,G133T-40,39871,40200,+
,G133T-3997,3790300,3791130,-
,G133T-3996,3788912,3790285,+
 //  //  //  //  // ,G133T-3995 // G133T-3994 // G133T-3993 // G133T-3992 // G133T-3991 // G133T-3990,3788164 // 3787851 // 3787648 // 3787463 // 3786569 // 3785796,3788700 // 3788171 // 3787854 // 3787651 // 3787456 // 3786572,-
,G133T-399,369766,370098,+
,G133T-3989,3784597,3785799,+
,G133T-3988,3782849,3784492,+
 // ,G133T-3987 // G133T-3986,3782130 // 3781943,3782720 // 3782128,-
,G133T-3985,3779855,3781780,-
 //  //  // ,G133T-3984 // G133T-3983 // G133T-3982 // G133T-3981,3779418 // 3778044 // 3777693 // 3776368,3779726 // 3779402 // 3778025 // 3777696,-
,G133T-3980,3775243,3776334,+
,G133T-398,369229,369684,+
,G133T-3979,3774344,3775102,+
 //  //  //  // ,G133T-3978 // G133T-3977 // G133T-3976 // G133T-3975 // G133T-3974,3773075 // 3772839 // 3771635 // 3770127 // 3769960,3774253 // 3773075 // 3772822 // 3771638 // 3770109,+
,G133T-3973,3769792,3769905,-
,G133T-3972,3769414,3769599,+
,G133T-3971,3768578,3769462,-
,G133T-3970,3767804,3768436,-
,G133T-397,368984,369124,+
,G133T-3969,3766407,3767774,+
,G133T-3968,3766270,3766386,-
,G133T-3967,3765010,3766251,+
,G133T-3966,3764246,3764761,+
,G133T-3965,3763382,3764095,-
,G133T-3964,3762412,3763272,-
,G133T-3963,3761519,3762361,+
 // ,G133T-3962 // G133T-3961,3760086 // 3759953,3761465 // 3760081,+
,G133T-3960,3757721,3759658,+
 // ,G133T-396 // G133T-395,367988 // 367298,368839 // 367978,-
,G133T-3959,3756159,3757493,-
,G133T-3958,3755405,3756082,-
,G133T-3957,3754987,3755367,+
,G133T-3956,3753676,3754866,-
 // ,G133T-3955 // G133T-3954,3753444 // 3752211,3753641 // 3753410,+
 // ,G133T-3953 // G133T-3952,3751430 // 3751062,3752107 // 3751448,+
 //  // ,G133T-3951 // G133T-3950 // G133T-3949,3750051 // 3749225 // 3748560,3750956 // 3750043 // 3749228,-
 //  // ,G133T-3948 // G133T-3947 // G133T-3946,3746958 // 3745804 // 3744535,3748403 // 3746961 // 3745785,-
,G133T-3945,3743650,3744252,-
,G133T-3944,3741773,3742081,+
,G133T-3943,3741172,3741330,+
 // ,G133T-3942 // G133T-3941,3740145 // 3739744,3740816 // 3740127,-
 // ,G133T-3940 // G133T-3939,3738491 // 3736946,3739663 // 3738487,-
 // ,G133T-394 // G133T-393,366056 // 365843,367249 // 366028,+
,G133T-3938,3736627,3736875,+
 //  //  // ,G133T-3937 // G133T-3936 // G133T-3935 // G133T-3934,3735149 // 3733172 // 3732544 // 3732168,3736105 // 3735121 // 3733158 // 3732542,-
,G133T-3933,3731862,3732125,+
,G133T-3932,3730185,3731366,-
,G133T-3931,3730067,3730195,+
,G133T-3930,3729330,3730079,-
,G133T-3929,3728155,3729156,-
,G133T-3928,3725697,3728117,+
 // ,G133T-3927 // G133T-3926,3724866 // 3723996,3725168 // 3724826,-
,G133T-3925,3723187,3723957,+
 // ,G133T-3924 // G133T-3923,3721501 // 3720065,3722886 // 3721504,-
,G133T-3922,3719723,3719971,-
,G133T-3921,3718818,3719633,+
 // ,G133T-3920 // G133T-3919,3718336 // 3717708,3718674 // 3718343,-
 // ,G133T-392 // G133T-391,365163 // 364252,365747 // 365166,+
,G133T-3918,3717127,3717591,-
 // ,G133T-3917 // G133T-3916,3716231 // 3715540,3717037 // 3716217,-
,G133T-3915,3714145,3715515,+
 //  // ,G133T-3914 // G133T-3913 // G133T-3912,3714021 // 3713660 // 3712318,3714155 // 3714016 // 3713634,-
,G133T-3911,3711885,3712256,-
,G133T-3910,3711296,3711841,+
,G133T-3909,3711039,3711155,-
 //  //  //  //  //  //  //  // ,G133T-3908 // G133T-3907 // G133T-3906 // G133T-3905 // G133T-3904 // G133T-3903 // G133T-3902 // G133T-3901 // G133T-3900,3710206 // 3708777 // 3707587 // 3706717 // 3705596 // 3704881 // 3703859 // 3703094 // 3702147,3710976 // 3710201 // 3708756 // 3707586 // 3706717 // 3705603 // 3704878 // 3703834 // 3703094,-
,G133T-390,362930,364135,+
 // ,G133T-39 // G133T-38,39159 // 37720,39797 // 39162,+
,G133T-3899,3700046,3700510,-
 // ,G133T-3898 // G133T-3897,3699880 // 3698595,3699999 // 3699869,-
,G133T-3896,3696821,3698368,-
 // ,G133T-3895 // G133T-3894,3695047 // 3693635,3696747 // 3695050,-
,G133T-3893,3692187,3693425,-
,G133T-3892,3692034,3692150,+
 //  //  //  //  // ,G133T-3891 // G133T-3890 // G133T-3889 // G133T-3888 // G133T-3887 // G133T-3886,3691421 // 3690724 // 3689960 // 3688523 // 3687342 // 3686142,3691723 // 3691431 // 3690727 // 3689941 // 3688526 // 3687341,-
 //  //  // ,G133T-389 // G133T-388 // G133T-387 // G133T-386,360435 // 358296 // 355757 // 355405,362750 // 360428 // 358174 // 355725,-
,G133T-3885,3685348,3686127,+
,G133T-3884,3684451,3685215,+
,G133T-3883,3683210,3684181,-
,G133T-3882,3682164,3683063,-
,G133T-3881,3681270,3682115,-
,G133T-3880,3680212,3681102,-
,G133T-3879,3679292,3680068,+
,G133T-3878,3678853,3679077,-
 // ,G133T-3877 // G133T-3876,3677390 // 3676854,3678691 // 3677354,-
 // ,G133T-3875 // G133T-3874,3676272 // 3674872,3676742 // 3676272,-
,G133T-3873,3674637,3674792,-
,G133T-3872,3672111,3674027,-
,G133T-3871,3671572,3671991,-
,G133T-3870,3671341,3671529,+
 // ,G133T-3869 // G133T-3868,3670573 // 3670041,3671232 // 3670559,-
,G133T-3867,3667673,3669748,+
,G133T-3866,3666641,3667471,-
,G133T-3865,3665708,3666580,-
,G133T-3864,3665203,3665676,+
,G133T-3863,3663856,3665001,+
,G133T-3862,3663694,3663807,+
 // ,G133T-3861 // G133T-3860,3662271 // 3660856,3663626 // 3662232,-
 //  //  //  //  //  // ,G133T-3859 // G133T-3858 // G133T-3857 // G133T-3856 // G133T-3855 // G133T-3854 // G133T-3853,3660149 // 3658872 // 3657707 // 3656407 // 3655695 // 3655537 // 3654178,3660850 // 3660152 // 3658867 // 3657717 // 3656414 // 3655698 // 3655524,+
,G133T-3852,3653913,3654044,+
 // ,G133T-3851 // G133T-3850,3653172 // 3651505,3653600 // 3653175,-
,G133T-385,353893,355338,-
,G133T-3849,3650182,3651309,-
,G133T-3848,3649367,3650083,-
,G133T-3847,3648616,3649335,+
,G133T-3846,3647996,3648472,-
 //  //  //  // ,G133T-3845 // G133T-3844 // G133T-3843 // G133T-3842 // G133T-3841,3644114 // 3642661 // 3642081 // 3641413 // 3641270,3647599 // 3644124 // 3642635 // 3642084 // 3641416,-
,G133T-3840,3639425,3640927,-
,G133T-384,352863,353861,+
 // ,G133T-3839 // G133T-3838,3637609 // 3637075,3639252 // 3637599,-
,G133T-3837,3636761,3637033,+
 // ,G133T-3836 // G133T-3835,3635718 // 3634509,3636680 // 3635705,+
 // ,G133T-3834 // G133T-3833,3632237 // 3631101,3634354 // 3632240,-
,G133T-3832,3630967,3631104,+
,G133T-3831,3630397,3630918,-
,G133T-3830,3628548,3630155,-
,G133T-383,351847,352701,-
,G133T-3829,3627945,3628466,+
,G133T-3828,3627405,3627779,-
 // ,G133T-3827 // G133T-3826,3626367 // 3625609,3627224 // 3626247,-
 // ,G133T-3825 // G133T-3824,3623941 // 3622945,3625230 // 3623910,-
 // ,G133T-3823 // G133T-3822,3622569 // 3621255,3622730 // 3622538,-
,G133T-3821,3620936,3621136,-
 // ,G133T-3820 // G133T-3819,3620260 // 3620091,3620847 // 3620234,-
 // ,G133T-382 // G133T-381,350863 // 350001,351765 // 350858,-
,G133T-3818,3618273,3619970,-
,G133T-3817,3617232,3618191,-
,G133T-3816,3616644,3617198,+
,G133T-3815,3616136,3616522,+
 // ,G133T-3814 // G133T-3813,3614940 // 3614072,3616010 // 3614938,-
,G133T-3812,3613725,3614012,-
,G133T-3811,3613346,3613708,+
,G133T-3810,3612531,3613205,-
,G133T-3809,3612021,3612464,-
,G133T-3808,3610824,3611864,-
,G133T-3807,3610188,3610745,-
 //  //  // ,G133T-3806 // G133T-3805 // G133T-3804 // G133T-3803,3609660 // 3609500 // 3609054 // 3608499,3610112 // 3609658 // 3609503 // 3609041,-
,G133T-3802,3607045,3608292,-
,G133T-3801,3606281,3606910,-
 //  //  //  //  //  //  //  // ,G133T-3800 // G133T-3799 // G133T-3798 // G133T-3797 // G133T-3796 // G133T-3795 // G133T-3794 // G133T-3793 // G133T-3792,3605475 // 3604733 // 3604475 // 3603800 // 3603258 // 3601733 // 3600793 // 3599346 // 3598924,3605858 // 3605404 // 3604687 // 3604243 // 3603803 // 3603241 // 3601656 // 3600767 // 3599322,-
,G133T-380,348729,349964,+
,G133T-3791,3598384,3598890,+
,G133T-3790,3598017,3598247,-
,G133T-379,347227,348576,+
 // ,G133T-3789 // G133T-3788,3597148 // 3595804,3597894 // 3597114,-
,G133T-3787,3594577,3595608,-
 // ,G133T-3786 // G133T-3785,3594188 // 3593508,3594349 // 3594191,-
,G133T-3784,3593237,3593377,-
,G133T-3783,3592510,3593184,-
,G133T-3782,3592255,3592416,-
 // ,G133T-3781 // G133T-3780,3591221 // 3590180,3592009 // 3591205,-
 // ,G133T-378 // G133T-377,345484 // 344556,347031 // 345467,+
,G133T-3779,3590035,3590172,+
 // ,G133T-3778 // G133T-3777,3588855 // 3588746,3589988 // 3588865,-
,G133T-3776,3588220,3588858,-
,G133T-3775,3587959,3588147,-
,G133T-3774,3587480,3587662,-
 //  // ,G133T-3773 // G133T-3772 // G133T-3771,3586645 // 3586274 // 3584568,3586962 // 3586648 // 3586277,-
,G133T-3770,3584032,3584433,-
,G133T-3769,3583323,3583964,-
,G133T-3768,3582905,3583288,+
,G133T-3767,3581987,3582760,-
,G133T-3766,3580518,3581966,+
,G133T-3765,3580297,3580425,+
,G133T-3764,3579841,3580275,-
,G133T-3763,3579713,3579844,+
 // ,G133T-3762 // G133T-3761,3579036 // 3578542,3579554 // 3579039,+
,G133T-3760,3577556,3578407,-
 // ,G133T-376 // G133T-375,343505 // 342543,344365 // 343499,+
,G133T-3759,3577023,3577445,-
,G133T-3758,3576401,3576982,+
 //  // ,G133T-3757 // G133T-3756 // G133T-3755,3575870 // 3574644 // 3574425,3576220 // 3575858 // 3574604,+
,G133T-3754,3573898,3574362,-
 // ,G133T-3753 // G133T-3752,3573145 // 3571787,3573714 // 3573145,-
,G133T-3751,3570134,3571606,-
,G133T-3750,3568622,3570070,-
 // ,G133T-3749 // G133T-3748,3567341 // 3566906,3568531 // 3567319,+
,G133T-3747,3566275,3566556,-
,G133T-3746,3565108,3566109,-
 // ,G133T-3745 // G133T-3744,3564133 // 3563290,3564945 // 3564099,-
,G133T-3743,3562203,3563267,+
,G133T-3742,3561586,3562011,-
,G133T-3741,3561121,3561513,-
,G133T-3740,3560205,3561074,+
,G133T-374,341497,342471,+
,G133T-3739,3559965,3560135,-
,G133T-3738,3559586,3559894,-
,G133T-3737,3559477,3559611,-
,G133T-3736,3559036,3559446,+
,G133T-3735,3558478,3558861,-
,G133T-3734,3558060,3558401,-
 // ,G133T-3733 // G133T-3732,3557060 // 3556197,3557863 // 3557054,-
 // ,G133T-3731 // G133T-3730,3553303 // 3551706,3556071 // 3553316,+
,G133T-373,340618,341379,-
 // ,G133T-3729 // G133T-3728,3550379 // 3549676,3551125 // 3550389,-
,G133T-3727,3548859,3549623,-
,G133T-3726,3547342,3548664,-
,G133T-3725,3546365,3547150,-
,G133T-3724,3546218,3546397,+
 //  //  //  // ,G133T-3723 // G133T-3722 // G133T-3721 // G133T-3720 // G133T-3719,3545551 // 3545281 // 3543454 // 3543000 // 3542274,3545973 // 3545541 // 3545262 // 3543464 // 3542990,-
,G133T-372,340030,340590,+
,G133T-3718,3541308,3542189,+
 // ,G133T-3717 // G133T-3716,3540640 // 3540422,3541185 // 3540643,-
 //  // ,G133T-3715 // G133T-3714 // G133T-3713,3539859 // 3539269 // 3538779,3540395 // 3539862 // 3539255,+
,G133T-3712,3536988,3538565,-
,G133T-3711,3536648,3536983,+
,G133T-3710,3535853,3536470,+
,G133T-371,339161,339754,-
,G133T-3709,3533863,3534951,-
,G133T-3708,3532593,3533735,-
,G133T-3707,3531856,3532533,-
,G133T-3706,3530492,3531799,+
,G133T-3705,3529352,3530260,+
 // ,G133T-3704 // G133T-3703,3527482 // 3526653,3529197 // 3527420,-
,G133T-3702,3526026,3526553,-
,G133T-3701,3525690,3525986,+
,G133T-3700,3524998,3525534,+
,G133T-370,338293,339111,+
 // ,G133T-37 // G133T-36,36478 // 35845,37638 // 36459,+
,G133T-3699,3523999,3524916,+
 //  //  // ,G133T-3698 // G133T-3697 // G133T-3696 // G133T-3695,3521536 // 3521125 // 3520280 // 3519265,3523017 // 3521520 // 3521128 // 3520245,+
,G133T-3694,3518605,3518736,+
 //  //  // ,G133T-3693 // G133T-3692 // G133T-3691 // G133T-3690,3517300 // 3516836 // 3515675 // 3515493,3518481 // 3517285 // 3516817 // 3515660,-
,G133T-369,337429,338163,+
,G133T-3689,3514111,3515388,-
,G133T-3688,3513217,3514077,+
,G133T-3687,3512093,3513061,+
,G133T-3686,3510387,3511760,-
 //  // ,G133T-3685 // G133T-3684 // G133T-3683,3509226 // 3508123 // 3506666,3510350 // 3509229 // 3508117,+
 // ,G133T-3682 // G133T-3681,3506398 // 3505451,3506514 // 3506401,-
,G133T-3680,3502680,3505322,-
,G133T-368,336097,337437,-
,G133T-3679,3501292,3502620,+
 // ,G133T-3678 // G133T-3677,3500060 // 3499224,3501172 // 3499994,+
 //  // ,G133T-3676 // G133T-3675 // G133T-3674,3498435 // 3496253 // 3494013,3498824 // 3498274 // 3496253,-
 // ,G133T-3673 // G133T-3672,3493021 // 3491418,3493848 // 3493001,-
,G133T-3671,3490783,3491379,+
,G133T-3670,3487889,3489229,-
,G133T-367,335334,336095,+
,G133T-3669,3485063,3487765,-
,G133T-3668,3484787,3484972,-
,G133T-3667,3483483,3484361,+
,G133T-3666,3483355,3483531,-
,G133T-3665,3482095,3483237,-
,G133T-3664,3481135,3482055,+
 //  // ,G133T-3663 // G133T-3662 // G133T-3661,3480643 // 3478502 // 3476973,3480951 // 3480619 // 3478463,-
,G133T-3660,3476207,3476746,-
,G133T-366,334635,335264,+
 // ,G133T-3659 // G133T-3658,3474606 // 3473440,3476060 // 3474609,-
,G133T-3657,3471993,3473387,-
 //  //  // ,G133T-3656 // G133T-3655 // G133T-3654 // G133T-3653,3470442 // 3469733 // 3468951 // 3467729,3471839 // 3470413 // 3469709 // 3468922,-
,G133T-3652,3466508,3467584,-
 // ,G133T-3651 // G133T-3650,3465260 // 3464607,3466435 // 3465260,+
,G133T-365,334097,334561,+
,G133T-3649,3463233,3464390,-
,G133T-3648,3462461,3463150,-
,G133T-3647,3461518,3462363,-
,G133T-3646,3460021,3461412,-
 // ,G133T-3645 // G133T-3644,3459665 // 3458979,3459961 // 3459701,-
,G133T-3643,3458486,3458905,-
 //  //  // ,G133T-3642 // G133T-3641 // G133T-3640 // G133T-3639,3458139 // 3457641 // 3456099 // 3455192,3458405 // 3458123 // 3457622 // 3456088,-
,G133T-364,332446,333984,-
 //  // ,G133T-3638 // G133T-3637 // G133T-3636,3454570 // 3454118 // 3453900,3455145 // 3454549 // 3454124,-
,G133T-3635,3452841,3453755,-
 //  //  //  // ,G133T-3634 // G133T-3633 // G133T-3632 // G133T-3631 // G133T-3630,3452279 // 3450765 // 3450342 // 3450004 // 3449617,3452470 // 3452261 // 3450743 // 3450345 // 3449994,-
 // ,G133T-363 // G133T-362,330776 // 329779,332401 // 330744,+
,G133T-3629,3448857,3449426,-
,G133T-3628,3446164,3448689,-
,G133T-3627,3444993,3445976,-
,G133T-3626,3443982,3444830,-
,G133T-3625,3443595,3443933,-
,G133T-3624,3442675,3443361,-
,G133T-3623,3441792,3442619,-
,G133T-3622,3440210,3441652,-
,G133T-3621,3439472,3439810,-
,G133T-3620,3438200,3439393,-
 // ,G133T-3619 // G133T-3618,3436818 // 3436218,3438152 // 3436787,+
,G133T-3617,3433647,3436142,+
,G133T-3616,3433504,3433644,-
,G133T-3615,3433326,3433439,+
,G133T-3614,3432970,3433203,-
 // ,G133T-3613 // G133T-3612,3430799 // 3427918,3432784 // 3430791,-
,G133T-3611,3427274,3427756,-
,G133T-3610,3426845,3427075,+
,G133T-361,329638,329760,-
 //  //  // ,G133T-3609 // G133T-3608 // G133T-3607 // G133T-3606,3426301 // 3425179 // 3424977 // 3424616,3426627 // 3426276 // 3425174 // 3424975,-
 // ,G133T-3605 // G133T-3604,3423377 // 3422847,3424588 // 3423356,+
,G133T-3603,3422608,3422724,-
 // ,G133T-3602 // G133T-3601,3421675 // 3420442,3422421 // 3421659,-
,G133T-3600,3419928,3420401,+
,G133T-360,327623,329602,+
,G133T-3599,3419541,3419738,+
,G133T-3598,3415894,3419580,-
 //  // ,G133T-3597 // G133T-3596 // G133T-3595,3415143 // 3414397 // 3413210,3415874 // 3415125 // 3414400,+
 //  //  //  // ,G133T-3594 // G133T-3593 // G133T-3592 // G133T-3591 // G133T-3590,3412096 // 3411273 // 3410311 // 3409664 // 3409142,3413028 // 3412082 // 3411249 // 3410314 // 3409660,-
,G133T-359,326893,327474,+
,G133T-3589,3408457,3409122,+
,G133T-3588,3407465,3408217,+
 //  //  //  //  //  //  // ,G133T-3587 // G133T-3586 // G133T-3585 // G133T-3584 // G133T-3583 // G133T-3582 // G133T-3581 // G133T-3580,3406039 // 3405405 // 3404125 // 3403544 // 3402905 // 3402171 // 3401416 // 3400790,3407214 // 3406028 // 3405408 // 3404128 // 3403543 // 3402908 // 3402174 // 3401419,-
,G133T-358,325344,326777,+
 //  // ,G133T-3579 // G133T-3578 // G133T-3577,3399819 // 3397907 // 3397533,3400544 // 3399817 // 3397892,-
,G133T-3576,3395599,3397368,-
,G133T-3575,3394019,3395473,-
,G133T-3574,3392217,3393638,-
,G133T-3573,3391061,3392011,-
 //  //  //  //  // ,G133T-3572 // G133T-3571 // G133T-3570 // G133T-3569 // G133T-3568 // G133T-3567,3390267 // 3389355 // 3388400 // 3387427 // 3387146 // 3386381,3390713 // 3390242 // 3389395 // 3388377 // 3387403 // 3387136,-
,G133T-357,324043,325194,-
,G133T-3566,3386136,3386345,+
 // ,G133T-3565 // G133T-3564,3385276 // 3384212,3385989 // 3385282,-
,G133T-3563,3383350,3384129,-
,G133T-3562,3381435,3383375,-
,G133T-3561,3380423,3381397,+
 // ,G133T-3560 // G133T-3559,3379444 // 3377833,3380028 // 3379425,-
 //  // ,G133T-356 // G133T-355 // G133T-354,323124 // 322276 // 321018,324005 // 323124 // 322274,+
,G133T-3558,3377486,3377806,+
,G133T-3557,3376794,3377369,-
,G133T-3556,3375638,3376588,-
,G133T-3555,3373756,3375522,-
 //  //  // ,G133T-3554 // G133T-3553 // G133T-3552 // G133T-3551,3372407 // 3371060 // 3370223 // 3369333,3373660 // 3372367 // 3371059 // 3370217,-
 //  // ,G133T-3550 // G133T-3549 // G133T-3548,3367082 // 3365404 // 3364727,3369355 // 3367089 // 3365407,-
,G133T-3547,3364088,3364681,+
,G133T-3546,3363743,3363818,-
,G133T-3545,3362496,3363458,+
,G133T-3544,3360797,3362140,-
,G133T-3543,3360033,3360545,-
 // ,G133T-3542 // G133T-3541,3359677 // 3359342,3359997 // 3359677,+
,G133T-3540,3358676,3359260,+
,G133T-3539,3357019,3358581,+
,G133T-3538,3355361,3356911,+
,G133T-3537,3353866,3355287,+
 // ,G133T-3536 // G133T-3535,3351972 // 3351273,3353327 // 3351956,-
,G133T-3534,3350179,3350664,-
 // ,G133T-3533 // G133T-3532,3349961 // 3348489,3350152 // 3349958,+
,G133T-3531,3347955,3348413,+
 // ,G133T-3530 // G133T-3529,3347005 // 3346316,3347709 // 3346999,-
,G133T-353,320426,320707,-
 //  //  //  //  //  //  //  //  //  //  // ,G133T-3528 // G133T-3527 // G133T-3526 // G133T-3525 // G133T-3524 // G133T-3523 // G133T-3522 // G133T-3521 // G133T-3520 // G133T-3519 // G133T-3518 // G133T-3517,3344261 // 3343104 // 3342271 // 3341124 // 3340024 // 3338965 // 3337884 // 3336853 // 3335339 // 3334734 // 3334087 // 3332916,3346057 // 3344249 // 3343107 // 3342278 // 3341127 // 3339999 // 3338960 // 3337887 // 3336856 // 3335342 // 3334737 // 3334082,-
,G133T-352,319185,320357,-
,G133T-3516,3331969,3332937,-
 // ,G133T-3515 // G133T-3514,3331741 // 3331664,3331959 // 3331783,+
,G133T-3513,3330352,3331662,-
,G133T-3512,3328634,3330325,+
,G133T-3511,3327685,3328344,-
,G133T-3510,3326513,3327505,-
,G133T-351,317730,318932,+
 //  //  // ,G133T-3509 // G133T-3508 // G133T-3507 // G133T-3506,3325107 // 3323811 // 3322956 // 3320874,3326372 // 3325067 // 3323807 // 3322934,-
,G133T-3505,3319505,3320830,-
 // ,G133T-3504 // G133T-3503,3318240 // 3317395,3319451 // 3318204,+
,G133T-3502,3317178,3317306,-
 //  //  // ,G133T-3501 // G133T-3500 // G133T-3499 // G133T-3498,3316206 // 3315468 // 3314349 // 3313730,3317108 // 3316205 // 3315464 // 3314332,-
 // ,G133T-350 // G133T-349,316517 // 314888,317608 // 316501,+
,G133T-35,35531,35725,+
 //  // ,G133T-3497 // G133T-3496 // G133T-3495,3312839 // 3311373 // 3310651,3313555 // 3312812 // 3311373,-
,G133T-3494,3309509,3310543,-
,G133T-3493,3307764,3309107,-
,G133T-3492,3306806,3307723,+
,G133T-3491,3305828,3306706,-
,G133T-3490,3304661,3305671,-
,G133T-3489,3303524,3304612,+
,G133T-3488,3301926,3303320,-
,G133T-3487,3300606,3301628,-
 //  //  //  // ,G133T-3486 // G133T-3485 // G133T-3484 // G133T-3483 // G133T-3482,3299552 // 3298051 // 3297259 // 3295731 // 3294409,3300559 // 3299235 // 3298020 // 3297266 // 3295701,-
,G133T-3481,3293903,3294364,+
,G133T-3480,3291960,3293777,-
,G133T-348,314030,314803,+
,G133T-3479,3291226,3291924,+
,G133T-3478,3290480,3291094,+
,G133T-3477,3289695,3290327,-
,G133T-3476,3289120,3289677,+
 //  //  // ,G133T-3475 // G133T-3474 // G133T-3473 // G133T-3472,3287714 // 3287038 // 3286107 // 3285400,3288856 // 3287691 // 3287024 // 3286089,-
 // ,G133T-3471 // G133T-3470,3284908 // 3284288,3285180 // 3284911,-
 //  // ,G133T-347 // G133T-346 // G133T-345,313401 // 312785 // 312164,313979 // 313366 // 312763,+
,G133T-3469,3283630,3284241,+
,G133T-3468,3282616,3283587,+
,G133T-3467,3281388,3281921,+
 //  //  // ,G133T-3466 // G133T-3465 // G133T-3464 // G133T-3463,3279959 // 3279289 // 3278357 // 3277660,3281104 // 3279942 // 3279277 // 3278340,-
,G133T-3462,3275920,3277620,+
,G133T-3461,3275220,3275795,+
,G133T-3460,3274521,3274928,+
,G133T-3459,3274136,3274321,-
,G133T-3458,3273326,3274096,+
,G133T-3457,3272947,3273177,-
 // ,G133T-3456 // G133T-3455,3272075 // 3269717,3272815 // 3272056,-
,G133T-3454,3269102,3269572,-
,G133T-3453,3267586,3268380,-
 //  // ,G133T-3452 // G133T-3451 // G133T-3450,3266903 // 3266547 // 3266149,3267475 // 3266906 // 3266550,-
,G133T-3449,3264091,3265986,-
,G133T-3448,3263296,3263931,-
,G133T-3447,3262183,3263259,+
,G133T-3446,3261750,3262055,-
,G133T-3445,3261467,3261676,-
,G133T-3444,3258975,3261386,-
,G133T-3443,3256707,3258806,-
 // ,G133T-3442 // G133T-3441,3255919 // 3255498,3256587 // 3255914,-
,G133T-3440,3255398,3255532,+
,G133T-344,310885,311919,-
,G133T-3439,3254703,3255311,-
